Zip;Mean;Pop
13205;38.435;19.967
13206;48.459;16.681
13207;53.001;14.811
13208;39.943;21.502
13209;57.348;13.433
13210;37.458;27.631
13211;51.942;6.460
13212;63.132;21.246
13214;84.322;9.101
13215;89.392;14.187
13219;68.273;15.773
13224;73.752;8.993
1330;81.554;1.512
13301;55.176;119
13302;33.697;974
13303;65.854;1.248
13304;75.865;1.762
13305;51.869;268
13308;58.781;3.708
13309;55.725;5.981
1331;59.949;12.856
13310;63.358;541
13312;48.499;373
13313;52.064;630
13314;51.113;324
13315;55.688;1.379
13316;55.842;6.648
13317;55.332;3.862
13318;57.094;1.405
13319;94.010;874
13320;15.408;550
13321;79.323;1.202
13322;66.039;1.127
13323;77.938;10.653
13324;57.988;1.971
13325;49.516;976
13326;42.555;3.371
13327;12.106;495
13328;66.779;1.210
13329;49.479;3.744
13331;56.310;271
13332;58.880;2.344
13334;63.403;1.315
13335;56.849;1.545
13337;75.165;833
13338;50.016;1.231
13339;53.863;6.681
13340;53.149;7.976
13341;82.339;86
13342;56.849;149
13343;56.072;1.687
13345;49.607;205
13346;69.009;5.791
13348;60.826;1.447
13350;44.389;9.869
13352;77.395;79
13353;69.704;151
13354;71.825;3.264
13355;57.526;810
13357;53.833;11.535
13360;66.328;407
13361;50.594;743
13362;62.608;24
13363;57.125;2.631
13364;51.113;298
13365;53.519;8.977
13367;52.049;7.887
13368;48.297;1.184
1337;68.074;2.649
1338;67.203;184
1339;7.755;181
13402;60.206;1.511
13403;69.490;7.460
13404;53.968;179
13406;57.188;806
13407;51.032;5.505
13408;64.641;3.793
13409;62.693;2.355
1341;81.554;1.743
13410;50.323;185
13411;60.866;3.358
13413;80.743;15.990
13415;56.849;99
13416;57.168;2.128
13417;50.437;3.196
13418;51.113;255
1342;77.805;1.140
13420;56.310;1.383
13421;57.802;13.513
13424;2.045;75
13425;62.382;1.970
13428;50.323;1.646
1343;59.862;73
13431;58.168;1.945
13433;48.176;1.772
13435;77.395;317
13436;66.328;126
13437;5.194;54
13438;61.821;3.960
13439;51.627;3.690
1344;62.158;1.216
13440;56.639;44.190
13441;7.138;4
13450;15.045;32
13452;44.337;4.548
13454;55.773;822
13456;72.144;4.206
13459;1.767;68
13460;60.401;4.440
13461;65.733;3.152
13464;59.447;1.288
13469;71.248;781
1347;64.302;214
13470;49.121;763
13471;51.405;3.478
13472;56.310;241
13473;50.170;810
13475;57.380;17
13476;65.423;3.037
13477;64.022;1.329
13478;61.602;3.331
13480;59.963;3.626
13483;53.738;225
13484;65.191;200
13485;52.735;1.179
13486;68.320;885
13488;55.950;134
13489;50.160;680
1349;63.743;1.116
13490;73.551;1.571
13491;56.762;3.752
13492;71.517;11.500
13493;28.030;1.105
